plan_id,test_name,instrument,trading_day,expiry,symbol,option_type,strike,selected_premium,planned_entry,planned_stop_loss,planned_targets,target_lots,final_status
plan_2026-05-14_NIFTY_PE_23550.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-14,2026-05-19,NIFTY,PE,23550.0,205.45,209.05,179.5,216.89;226.92;238.0,0;1;1,STOPLOSS
plan_2026-05-15_NIFTY_CE_23650.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-15,2026-05-19,NIFTY,CE,23650.0,206.3,236.9,203.1,245.89;257.4;270.1,0;1;1,TRAILING_SL
plan_2026-05-15_NIFTY_PE_23800.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-15,2026-05-19,NIFTY,PE,23800.0,221.7,228.05,194.75,244.44;265.36;288.45,0;1;1,STOPLOSS
plan_2026-05-18_NIFTY_CE_23300.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-18,2026-05-19,NIFTY,CE,23300.0,213.6,301.05,251.22,325.62;356.93;391.5,0;1;1,NOT_ENTERED
plan_2026-05-18_NIFTY_PE_23550.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-18,2026-05-19,NIFTY,PE,23550.0,207.2,207.6,181.53,220.42;236.78;254.85,0;1;1,TRAILING_SL
plan_2026-05-19_NIFTY_CE_23500.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-19,2026-05-19,NIFTY,CE,23500.0,224.55,237.35,206.88,252.34;271.48;292.6,0;1;1,TRAILING_SL
plan_2026-05-19_NIFTY_PE_23900.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-19,2026-05-19,NIFTY,PE,23900.0,206.75,263.5,224.48,282.72;307.24;334.3,0;1;1,STOPLOSS
plan_2026-05-18_NIFTY_CE_23450.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-18,2026-05-26,NIFTY,CE,23450.0,288.05,303.05,287.5,307.08;312.27;318.0,0;1;1,NOT_ENTERED
plan_2026-05-18_NIFTY_PE_23500.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-18,2026-05-26,NIFTY,PE,23500.0,310.1,313.25,286.69,326.31;342.99;361.4,0;1;1,TRAILING_SL
plan_2026-05-19_NIFTY_CE_23650.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-19,2026-05-26,NIFTY,CE,23650.0,285.0,293.1,270.35,299.09;306.77;315.25,0;1;1,TRAILING_SL
plan_2026-05-19_NIFTY_PE_23700.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-19,2026-05-26,NIFTY,PE,23700.0,253.75,291.15,267.39,302.82;317.74;334.2,0;1;1,NOT_ENTERED
plan_2026-05-20_NIFTY_CE_23400.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-20,2026-05-26,NIFTY,CE,23400.0,225.25,233.9,206.65,241.11;250.35;260.55,0;1;1,COMPLETED
plan_2026-05-20_NIFTY_PE_23500.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-20,2026-05-26,NIFTY,PE,23500.0,264.75,279.65,251.2,287.19;296.84;307.5,0;1;1,NOT_ENTERED
plan_2026-05-21_NIFTY_CE_23750.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-21,2026-05-26,NIFTY,CE,23750.0,218.9,226.2,209.5,230.54;236.13;242.3,0;1;1,NOT_ENTERED
plan_2026-05-21_NIFTY_PE_23900.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-21,2026-05-26,NIFTY,PE,23900.0,217.95,229.65,211.55,234.37;240.45;247.15,0;1;1,COMPLETED
plan_2026-06-05_NIFTY_PE_23500.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-05,2026-07-07,NIFTY,PE,23500.0,380.0,380.05,379.5,380.0;380.0;380.0,0;1;1,COMPLETED
plan_2026-06-10_NIFTY_PE_23250.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-10,2026-07-07,NIFTY,PE,23250.0,333.7,333.75,333.2,333.7;333.7;333.7,0;1;1,NOT_ENTERED
plan_2026-06-11_NIFTY_PE_23200.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-11,2026-07-07,NIFTY,PE,23200.0,381.15,388.8,380.65,390.82;393.45;396.35,0;1;1,COMPLETED
plan_2026-06-15_NIFTY_PE_24000.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-15,2026-07-07,NIFTY,PE,24000.0,308.9,421.6,359.32,452.33;491.48;534.7,0;1;1,NOT_ENTERED
plan_2026-06-16_NIFTY_CE_23900.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-16,2026-07-07,NIFTY,CE,23900.0,337.15,337.2,330.25,338.89;341.11;343.55,0;1;1,STOPLOSS
plan_2026-06-16_NIFTY_PE_24000.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-16,2026-07-07,NIFTY,PE,24000.0,305.65,315.6,305.15,318.24;321.67;325.45,0;1;1,NOT_ENTERED
plan_2026-06-17_NIFTY_CE_24000.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-17,2026-07-07,NIFTY,CE,24000.0,309.25,315.9,297.55,320.69;326.85;333.65,0;1;1,COMPLETED
plan_2026-06-17_NIFTY_PE_24050.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-17,2026-07-07,NIFTY,PE,24050.0,291.8,291.85,291.3,291.8;291.8;291.8,0;1;1,COMPLETED
plan_2026-06-18_NIFTY_CE_24050.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-18,2026-07-07,NIFTY,CE,24050.0,309.5,322.9,309.0,326.48;331.1;336.2,0;1;1,TRAILING_SL
plan_2026-06-18_NIFTY_PE_24100.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-18,2026-07-07,NIFTY,PE,24100.0,253.95,254.0,231.35,259.96;267.61;276.05,0;1;1,STOPLOSS
plan_2026-06-19_NIFTY_CE_23950.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-19,2026-07-07,NIFTY,CE,23950.0,307.35,341.05,302.7,351.28;364.36;378.8,0;1;1,NOT_ENTERED
plan_2026-06-19_NIFTY_PE_24000.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-19,2026-07-07,NIFTY,PE,24000.0,229.6,231.05,209.7,236.66;243.85;251.8,0;1;1,COMPLETED
plan_2026-06-22_NIFTY_CE_24100.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-22,2026-07-07,NIFTY,CE,24100.0,265.85,270.05,253.9,274.24;279.64;285.6,0;1;1,TRAILING_SL
plan_2026-06-22_NIFTY_PE_24150.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-22,2026-07-07,NIFTY,PE,24150.0,244.75,250.05,241.8,252.09;254.76;257.7,0;1;1,NOT_ENTERED
plan_2026-06-23_NIFTY_CE_24050.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-23,2026-07-07,NIFTY,CE,24050.0,250.0,270.05,249.5,275.44;282.36;290.0,0;1;1,TRAILING_SL
plan_2026-06-23_NIFTY_PE_24100.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-23,2026-07-07,NIFTY,PE,24100.0,210.6,212.9,200.8,215.99;219.99;224.4,0;1;1,STOPLOSS
plan_2026-06-24_NIFTY_CE_23750.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-24,2026-07-07,NIFTY,CE,23750.0,316.55,337.55,306.73,352.72;372.08;393.45,0;1;1,TRAILING_SL
plan_2026-06-24_NIFTY_PE_23800.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-24,2026-07-07,NIFTY,PE,23800.0,201.4,228.05,198.55,235.87;245.89;256.95,0;1;1,NOT_ENTERED
plan_2026-06-25_NIFTY_CE_24100.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-25,2026-07-07,NIFTY,CE,24100.0,236.15,242.4,229.25,245.78;250.14;254.95,0;1;1,STOPLOSS
plan_2026-06-25_NIFTY_PE_24200.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-25,2026-07-07,NIFTY,PE,24200.0,218.6,230.45,215.55,234.3;239.27;244.75,0;1;1,STOPLOSS
plan_2026-06-29_NIFTY_CE_24050.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-29,2026-07-07,NIFTY,CE,24050.0,220.55,224.4,198.7,231.19;239.89;249.5,0;1;1,TRAILING_SL
plan_2026-06-29_NIFTY_PE_24150.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-29,2026-07-07,NIFTY,PE,24150.0,207.5,227.5,202.75,234.03;242.41;251.65,0;1;1,TRAILING_SL
plan_2026-06-30_NIFTY_CE_23950.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-30,2026-07-07,NIFTY,CE,23950.0,206.7,229.9,203.65,236.84;245.73;255.55,0;1;1,NOT_ENTERED
plan_2026-06-30_NIFTY_PE_24100.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-06-30,2026-07-07,NIFTY,PE,24100.0,223.8,236.9,207.2,244.78;254.86;266.0,0;1;1,COMPLETED
plan_2026-07-01_NIFTY_CE_23850.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-07-01,2026-07-07,NIFTY,CE,23850.0,215.6,231.15,196.3,240.43;252.3;265.4,0;1;1,STOPLOSS
